43.157.147.3 - - [03/Jun/2025:00:06:34 +0800] "GET http://mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"[UKlT66]
101.55.81.36 - - [03/Jun/2025:00:19:36 +0800] "GET http://mxzgh.com/ALFA_DATA/ HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:21:18 +0800] "GET http://mxzgh.com/ALFA_DATA/alfacgiapi HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:25:12 +0800] "GET http://mxzgh.com/.vscode/sftp.json HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:28:07 +0800] "GET http://mxzgh.com/Telerik.Web.UI.WebResource.axd%3Ftype=rau HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:28:35 +0800] "GET http://mxzgh.com/deployment-config.json HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:32:44 +0800] "GET http://mxzgh.com/sftp-config.json HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:34:07 +0800] "GET http://mxzgh.com/sftp.json HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:38:02 +0800] "GET http://mxzgh.com/.git/config HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:40:43 +0800] "GET http://mxzgh.com/.ftpconfig HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:43:45 +0800] "GET http://mxzgh.com/config.json HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
101.55.81.36 - - [03/Jun/2025:00:46:22 +0800] "GET http://mxzgh.com/config/configuration.yml HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36"[LT0]
