45.197.38.40 - - [07/Jun/2025:00:37:34 +0800] "POST https://mxzgh.com/rest/../iconController.do?saveOrUpdateIcon HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.57 Safari/537.36"[LT0]
58.17.6.9 - - [07/Jun/2025:00:57:55 +0800] "GET http://mxzgh.com/index.php?game_id=1 HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Linux; Android 10; MLD-AL00 Build/HUAWEIMLD-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36"[ULlT300]
58.17.6.9 - - [07/Jun/2025:00:57:55 +0800] "GET http://mxzgh.com/login.php HTTP/1.1" 200 1068 "http://mxzgh.com/index.php?game_id=1" "Mozilla/5.0 (Linux; Android 10; MLD-AL00 Build/HUAWEIMLD-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36"[UKLlT2]
58.17.6.9 - - [07/Jun/2025:00:57:56 +0800] "GET http://mxzgh.com/index.php?game_id=1&error=Insufficient%20points. HTTP/1.1" 302 0 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/13.1.1 Mobile/13B143 Safari/601.1"[ULlT340]
58.17.6.9 - - [07/Jun/2025:00:57:56 +0800] "GET http://mxzgh.com/lobby.php HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Linux; Android 14; PJY110 Build/UP1A.230620.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.78 Mobile Safari/537.36"[ULlT342]
58.17.6.9 - - [07/Jun/2025:00:57:56 +0800] "GET http://mxzgh.com/login.php HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/601.1"[UKLlT349]
58.17.6.9 - - [07/Jun/2025:00:57:56 +0800] "GET http://mxzgh.com/view_orders.php?game_id=1&type=public HTTP/1.1" 200 2382 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/17.6 Mobile/15D60 Safari/601.1"[UKLlT349]
58.17.6.9 - - [07/Jun/2025:00:57:56 +0800] "GET http://mxzgh.com/login.php HTTP/1.1" 200 1068 "http://mxzgh.com/lobby.php" "Mozilla/5.0 (Linux; Android 14; PJY110 Build/UP1A.230620.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.78 Mobile Safari/537.36"[UKLlT3]
58.17.6.9 - - [07/Jun/2025:00:57:56 +0800] "GET http://mxzgh.com/login.php HTTP/1.1" 200 1068 "http://mxzgh.com/index.php?game_id=1&error=Insufficient%20points." "Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/13.1.1 Mobile/13B143 Safari/601.1"[UKLlT4]
157.55.39.222 - - [07/Jun/2025:01:41:24 +0800] "GET http://mxzgh.com/robots.txt HTTP/1.1" 404 983 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"[LT0]
40.77.167.154 - - [07/Jun/2025:01:41:33 +0800] "GET http://mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"[UKLlT71]
125.75.66.97 - - [07/Jun/2025:01:52:14 +0800] "GET http://mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"[UKlT65]
143.92.51.122 - - [07/Jun/2025:02:10:16 +0800] "GET http://mxzgh.com/autorpg_index.php?game_id=1 HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36"[ULlT66]
143.92.51.122 - - [07/Jun/2025:02:10:16 +0800] "GET http://mxzgh.com/login.php HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36"[UKLlT1]
113.215.189.45 - - [07/Jun/2025:02:52:41 +0800] "GET http://eg1.mxzgh.com/ HTTP/1.1" 403 1007 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.5581.175 Safari/537.36"[LT0]
35.205.159.124 - - [07/Jun/2025:03:19:57 +0800] "GET http://www.mxzgh.com/ HTTP/1.1" 200 1068 "-" "python-requests/2.23.0"[UKLlT108]
178.211.57.76 - - [07/Jun/2025:03:19:58 +0800] "GET http://www.mxzgh.com/ HTTP/1.1" 200 1068 "-" "python-requests/2.23.0"[UKLlT2]
113.215.188.46 - - [07/Jun/2025:03:23:06 +0800] "GET http://www.mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.3012.160 Safari/537.36"[UKLlT7]
113.215.188.46 - - [07/Jun/2025:03:23:07 +0800] "GET http://www.mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.2415.110 Safari/537.36"[UKLlT3]
113.215.188.46 - - [07/Jun/2025:03:23:07 +0800] "GET http://www.mxzgh.com/favicon.ico HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.2415.110 Safari/537.36"[LT0]
59.82.21.106 - - [07/Jun/2025:04:09:40 +0800] "GET http://mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.1951.153 Safari/537.36"[UKLlT66]
59.82.21.106 - - [07/Jun/2025:04:09:40 +0800] "GET http://mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.1944.78 Safari/537.36"[UKLlT1]
59.82.21.106 - - [07/Jun/2025:04:09:40 +0800] "GET http://mxzgh.com/favicon.ico HTTP/1.1" 404 983 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.1944.78 Safari/537.36"[LT0]
